time	temp
0.37704918	10.4
0.379781421	10.3
0.382513661	11.9
0.385245902	12.9
0.387978142	12.5
0.390710383	17.5
0.393442623	19.9
0.396174863	19.3
0.398907104	11.4
0.401639344	9.7
0.404371585	10.7
0.407103825	13.0
0.409836066	12.4
0.412568306	16.3
0.415300546	19.2
0.418032787	19.2
0.420765027	19.8
0.423497268	19.5
0.426229508	16.6
0.428961749	13.0
0.431693989	12.6
0.43442623	17.6
0.43715847	13.7
0.43989071	11.3
0.442622951	10.2
0.445355191	10.2
0.448087432	11.6
0.450819672	14.2
0.453551913	14.4
0.456284153	17.4
0.459016393	13.1
0.461748634	17.4
0.464480874	15.9
0.467213115	15.9
0.469945355	15.5
0.472677596	16.4
0.475409836	16.7
0.478142077	18.2
0.480874317	20.9
0.483606557	22.2
0.486338798	19.1
0.489071038	16.3
0.491803279	16.6
0.494535519	15.1
0.49726776	14.5
0.5	17.4
0.50273224	16.5
0.505464481	13.7
0.508196721	14.0
0.510928962	14.2
0.513661202	15.6
0.516393443	15.7
0.519125683	15.6
0.521857923	16.2
0.524590164	16.3
0.527322404	18.3
0.530054645	16.6
0.532786885	16.1
0.535519126	15.9
0.538251366	16.0
0.540983607	15.9
0.543715847	16.0
0.546448087	15.7
0.549180328	17.2
0.551912568	19.9
0.554644809	21.0
0.557377049	19.4
0.56010929	20.4
0.56284153	23.1
0.56557377	23.0
0.568306011	19.9
0.571038251	17.6
0.573770492	18.8
0.576502732	17.8
0.579234973	18.6
0.581967213	16.4
0.584699454	15.2
0.587431694	15.3
0.590163934	16.0
0.592896175	18.0
0.595628415	17.7
0.598360656	16.0
0.601092896	16.4
0.603825137	16.7
0.606557377	14.3
0.609289617	12.2
0.612021858	10.0
0.614754098	12.0
0.617486339	16.2
0.620218579	15.9
0.62295082	14.5
0.62568306	15.3
0.628415301	13.3
0.631147541	14.5
0.633879781	15.5
0.636612022	15.3
0.639344262	17.3
0.642076503	15.3
0.644808743	16.4
0.647540984	17.0
0.650273224	20.2
0.653005464	22.4
0.655737705	18.1
0.658469945	11.6
0.661202186	14.6
0.663934426	13.5
0.666666667	17.9
0.669398907	16.4
0.672131148	15.5
0.674863388	15.9
0.677595628	14.1
0.680327869	13.2
0.683060109	14.5
0.68579235	19.0
0.68852459	18.3
0.691256831	18.8
0.693989071	16.8
0.696721311	16.8
0.699453552	14.3
0.702185792	18.4
0.704918033	18.3
0.707650273	18.4
0.710382514	14.9
0.713114754	11.4
0.715846995	12.6
0.718579235	14.0
0.721311475	14.8
0.724043716	9.9
0.726775956	11.4
0.729508197	12.9
0.732240437	12.1
0.734972678	12.8
0.737704918	13.5
0.740437158	12.9
0.743169399	14.0
0.745901639	14.6
0.74863388	12.0
0.75136612	10.5
0.754098361	9.5
0.756830601	7.6
0.759562842	6.4
0.762295082	7.0
0.765027322	8.1
0.767759563	8.1
0.770491803	7.6
0.773224044	7.4
0.775956284	7.2
0.778688525	7.0
0.781420765	6.4
0.784153005	5.8
0.786885246	5.5
0.789617486	6.4
0.792349727	7.3
0.795081967	7.4
0.797814208	7.8
0.800546448	7.9
0.803278689	6.9
0.806010929	6.1
0.808743169	3.7
0.81147541	5.3
0.81420765	6.1
0.816939891	4.3
0.819672131	3.3
0.822404372	8.8
0.825136612	9.8
0.827868852	6.4
0.830601093	4.6
0.833333333	5.2
0.836065574	5.5
0.838797814	1.4
0.841530055	0.5
0.844262295	-2.6
0.846994536	2.4
0.849726776	-0.8
0.852459016	-3.3
0.855191257	-2.8
0.857923497	-3.5
0.860655738	-2.8
0.863387978	-2.2
0.866120219	-0.3
0.868852459	0.0
0.871584699	2.3
0.87431694	4.9
0.87704918	3.1
0.879781421	3.6
0.882513661	5.2
0.885245902	3.8
0.887978142	3.2
0.890710383	7.7
0.893442623	7.8
0.896174863	6.9
0.898907104	2.7
0.901639344	2.8
0.904371585	6.6
0.907103825	1.9
0.909836066	-1.4
0.912568306	2.2
0.915300546	1.9
0.918032787	-1.3
0.920765027	-1.6
0.923497268	-3.2
0.926229508	-2.7
0.928961749	3.7
0.931693989	-3.2
0.93442623	-0.2
0.93715847	9.3
0.93989071	7.1
0.942622951	3.2
0.945355191	1.1
0.948087432	-6.0
0.950819672	1.7
0.953551913	-1.3
0.956284153	-2.2
0.959016393	-1.2
0.961748634	1.0
0.964480874	1.7
0.967213115	3.7
0.969945355	4.7
0.972677596	-0.3
0.975409836	3.5
0.978142077	3.4
0.980874317	3.9
0.983606557	4.5
0.986338798	5.3
0.989071038	2.7
0.991803279	-0.4
0.994535519	4.3
0.99726776	7.0
1	9.3
